Team,Year,Wins,TeamWAR,AllP,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH
SEA,2009.0,85.0,33.5,12.3,11.3,1.2,21.2,0.9,3.4,1.8,3.7,-0.7,-0.3,6.6,4.7,11.0,0.8,0.3
TBR,2009.0,84.0,42.4,10.6,6.4,4.2,31.8,-0.2,2.7,5.1,6.8,6.8,5.1,1.3,3.2,9.6,-0.3,1.3
TEX,2009.0,87.0,39.3,19.9,12.5,7.9,19.4,0.4,-0.7,6.0,2.9,3.9,1.7,1.8,2.4,5.9,0.7,0.3
TOR,2009.0,75.0,40.7,10.4,7.5,3.1,30.3,1.8,2.4,5.8,5.2,5.4,2.4,1.1,2.3,5.8,3.2,0.7
BAL,2010.0,66.0,24.1,12.0,9.1,3.1,12.1,2.7,0.1,0.7,-0.4,0.1,1.3,2.7,2.3,6.3,2.5,0.1
BOS,2010.0,89.0,47.0,14.9,12.0,2.6,32.1,2.8,5.7,4.8,7.8,2.2,0.9,1.0,3.2,5.1,2.7,1.0
CHW,2010.0,88.0,41.6,24.6,17.4,7.4,17.0,1.7,3.6,0.5,-0.6,5.5,0.5,3.5,1.2,5.2,0.9,0.2
CLE,2010.0,69.0,26.8,8.5,4.5,4.2,18.3,2.3,0.9,0.7,2.5,1.7,1.4,-1.0,6.1,6.5,2.9,0.8
DET,2010.0,81.0,36.7,9.1,7.1,2.2,27.6,-0.6,6.8,1.5,2.6,2.0,3.1,5.3,2.8,11.2,2.4,1.7
KCR,2010.0,67.0,23.7,13.2,7.5,5.7,10.5,0.4,2.7,1.5,1.8,-0.7,-0.2,2.3,1.4,3.5,1.0,0.3
LAA,2010.0,80.0,30.5,14.2,12.3,1.9,16.3,1.6,2.5,2.5,0.0,1.6,0.6,3.6,1.8,6.0,1.8,0.3
MIN,2010.0,94.0,45.3,18.9,12.7,6.3,26.4,4.9,4.6,3.4,2.4,1.8,1.8,1.6,0.5,3.9,3.8,1.6
NYY,2010.0,95.0,50.1,14.9,9.0,5.9,35.2,1.6,3.9,8.0,3.9,1.8,4.7,6.0,2.8,13.5,1.3,1.2
OAK,2010.0,81.0,41.3,15.6,12.8,2.9,25.7,1.7,5.4,4.1,2.0,4.7,-0.2,4.1,1.4,5.3,1.8,0.7
SEA,2010.0,61.0,21.5,12.4,12.5,0.1,9.1,-0.9,-0.7,1.2,0.5,1.7,0.7,2.2,3.8,6.7,0.5,0.1
TBR,2010.0,96.0,48.9,12.7,7.0,5.7,36.2,2.2,2.5,4.6,8.4,3.3,7.0,1.9,3.6,12.5,0.6,2.1
TEX,2010.0,90.0,44.7,22.9,12.3,10.6,21.8,-1.1,-0.8,3.4,1.7,1.0,7.0,3.8,4.4,15.2,2.1,0.3
TOR,2010.0,85.0,39.2,15.7,10.8,4.9,23.5,2.3,2.4,1.2,4.0,4.8,0.5,4.0,4.9,9.4,-0.8,0.2
BAL,2011.0,69.0,21.6,4.8,-0.6,5.0,16.8,4.7,0.3,1.4,0.5,4.6,-0.4,2.9,2.6,5.1,0.3,-0.1
BOS,2011.0,90.0,50.3,13.7,8.3,5.6,36.6,1.7,6.9,8.0,3.9,2.7,0.6,8.0,-0.2,8.4,4.3,0.7
CHW,2011.0,79.0,32.1,21.6,15.6,6.2,10.5,1.3,1.4,1.4,0.9,3.7,-0.8,-1.0,3.6,1.8,-0.6,0.6
CLE,2011.0,80.0,30.0,12.1,5.4,6.8,17.9,3.1,1.2,0.0,3.1,5.0,1.1,1.0,1.1,3.2,2.0,0.3
DET,2011.0,95.0,41.8,13.4,11.0,2.6,28.4,5.3,7.5,0.8,-0.2,3.9,1.8,4.6,0.9,7.3,2.8,1.0
KCR,2011.0,71.0,36.0,9.7,2.3,7.5,26.3,2.5,1.7,0.6,1.0,2.7,7.4,4.3,3.3,15.0,2.1,0.7
LAA,2011.0,86.0,41.8,14.9,11.8,3.0,26.9,0.5,3.1,3.9,3.7,4.3,0.2,5.0,3.5,8.7,1.8,0.9
MIN,2011.0,63.0,13.1,9.3,7.3,2.1,3.8,-1.0,1.7,1.0,-0.3,-1.4,-1.3,2.8,1.1,2.6,1.1,0.1
NYY,2011.0,97.0,53.7,23.2,12.9,10.6,30.5,2.9,3.3,5.3,3.4,1.1,3.9,6.2,2.3,12.4,1.5,0.6
OAK,2011.0,74.0,30.6,20.2,16.2,4.1,10.4,1.3,-0.7,2.1,0.7,0.5,1.7,2.5,1.0,5.2,0.9,0.4
SEA,2011.0,67.0,23.7,12.5,8.5,3.9,11.2,0.5,1.0,4.5,0.3,4.7,-0.7,-0.6,0.6,-0.7,0.6,0.3
TBR,2011.0,91.0,50.4,16.7,14.9,1.8,33.7,1.1,3.1,6.5,7.0,0.0,4.2,3.6,4.6,12.4,2.2,1.4
TEX,2011.0,96.0,54.7,20.9,17.0,3.9,33.8,2.7,2.2,6.6,5.8,4.0,3.3,3.0,1.5,7.8,3.5,1.2
TOR,2011.0,81.0,35.0,16.7,10.8,6.0,18.3,1.9,0.1,0.4,5.2,5.0,0.0,-1.9,6.4,4.5,1.0,0.2
BAL,2012.0,93.0,37.9,22.5,10.4,12.3,15.4,3.2,0.6,-1.3,2.0,3.2,0.9,4.1,1.9,6.9,0.9,-0.1
BOS,2012.0,69.0,23.2,0.1,-3.4,3.7,23.1,1.5,2.5,5.2,2.0,2.7,2.4,0.8,2.3,5.5,3.2,0.5
CHW,2012.0,85.0,42.4,21.6,14.2,7.5,20.8,3.9,2.2,0.8,1.0,2.7,0.9,2.1,4.7,7.7,1.9,0.6
CLE,2012.0,68.0,20.3,2.8,-3.0,5.6,17.5,2.9,-0.4,3.7,0.8,2.8,-0.4,3.2,3.3,6.1,1.5,0.1
DET,2012.0,88.0,42.7,25.9,19.7,6.5,16.8,1.9,4.6,-1.0,6.6,0.9,0.4,5.4,-1.5,4.3,-0.3,-0.2
KCR,2012.0,72.0,31.6,14.8,4.4,10.3,16.8,2.8,-0.1,-0.6,3.0,3.5,6.2,1.7,-2.0,5.9,2.4,-0.1
LAA,2012.0,89.0,45.5,6.7,5.1,1.7,38.8,1.8,4.5,2.8,3.4,4.2,4.9,7.3,5.8,18.0,3.1,1.0
MIN,2012.0,66.0,25.3,0.7,-2.3,3.0,24.6,2.6,1.5,2.8,1.1,2.4,3.2,5.5,2.1,10.8,2.6,0.8
NYY,2012.0,95.0,51.0,21.1,13.8,7.4,29.9,2.5,4.5,7.9,2.2,2.0,1.0,3.2,2.9,7.1,2.4,1.3
OAK,2012.0,94.0,47.7,23.5,13.5,10.1,24.2,1.0,2.5,0.2,2.1,1.6,3.8,4.3,4.3,12.4,2.9,1.5
SEA,2012.0,75.0,34.4,18.8,12.7,6.0,15.6,1.6,-0.1,2.6,2.1,3.2,0.7,2.1,1.6,4.4,1.2,0.6
TBR,2012.0,90.0,45.6,24.0,14.9,9.1,21.6,1.2,1.1,3.1,3.2,2.1,2.8,3.1,3.6,9.5,1.2,0.2
TEX,2012.0,93.0,44.9,21.1,13.5,7.7,23.8,0.1,0.3,1.9,5.7,3.7,4.4,4.1,1.2,9.7,1.2,1.2
TOR,2012.0,73.0,28.2,6.1,3.2,3.0,22.1,1.9,2.7,1.6,4.4,2.7,0.4,1.9,3.3,5.6,3.0,0.2
BAL,2013.0,85.0,36.5,11.1,6.6,4.7,25.4,0.6,6.0,1.8,6.8,4.0,1.1,4.4,0.1,5.6,0.2,0.4
BOS,2013.0,97.0,55.4,16.6,10.8,6.1,38.8,3.5,4.5,6.1,0.1,3.7,2.4,6.3,6.6,15.3,4.6,1.0
