Team,Year,Wins,TeamWAR,AllP,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH
SDP,2008.0,63.0,20.8,3.7,4.5,-1.8,17.1,0.0,3.4,0.1,2.3,-0.5,2.1,3.4,4.9,10.4,0.1,1.3
SFG,2008.0,72.0,18.1,14.3,11.4,3.1,3.8,1.6,-0.4,0.0,-0.7,-1.8,1.1,0.8,3.7,5.6,0.0,-0.5
STL,2008.0,86.0,39.7,8.0,7.6,0.5,31.7,1.0,8.9,3.6,4.6,2.0,2.2,2.8,4.4,9.4,0.1,2.1
WSN,2008.0,59.0,13.6,4.9,2.9,2.6,8.7,-0.2,0.2,-0.2,3.1,4.7,0.2,0.0,0.8,1.0,-0.1,0.2
ARI,2009.0,70.0,26.3,10.3,9.4,0.9,16.0,2.5,-1.4,3.0,3.4,3.2,0.1,0.1,3.9,4.1,0.1,1.1
ATL,2009.0,86.0,42.4,24.6,19.5,4.5,17.8,4.6,3.0,1.5,3.0,3.7,-0.6,0.5,1.1,1.0,0.1,0.9
CHC,2009.0,83.0,34.5,24.7,18.5,5.7,9.8,0.9,5.3,0.0,1.6,0.8,-1.5,2.1,0.7,1.3,0.0,-0.1
CIN,2009.0,78.0,24.7,10.5,5.2,5.8,14.2,0.3,4.3,2.7,0.7,-0.3,1.6,1.5,2.1,5.2,0.1,1.2
COL,2009.0,92.0,39.7,19.7,17.1,2.7,20.0,2.2,3.1,1.7,-0.3,6.7,2.5,1.7,1.5,5.7,0.0,0.9
FLA,2009.0,87.0,32.7,15.7,9.9,6.4,17.0,1.7,1.2,2.1,-0.3,7.0,1.3,1.4,1.5,4.2,0.1,1.0
HOU,2009.0,74.0,19.4,6.2,2.8,3.4,13.2,0.3,2.7,0.1,-0.7,1.8,1.2,4.7,3.8,9.7,0.1,-0.8
LAD,2009.0,95.0,48.8,19.4,12.1,7.1,29.4,2.4,2.0,4.6,4.8,3.3,2.9,4.7,3.1,10.7,0.1,1.5
MIL,2009.0,80.0,25.5,0.4,-3.9,4.3,25.1,0.3,6.3,4.9,1.1,1.3,6.1,2.8,1.2,10.1,0.1,1.0
NYM,2009.0,70.0,25.6,6.7,4.6,2.1,18.9,0.5,1.9,1.3,3.4,0.8,1.4,6.0,2.5,9.9,0.2,0.9
PHI,2009.0,93.0,40.6,11.8,9.7,2.1,28.8,2.9,3.7,8.0,1.0,1.6,2.8,4.0,4.0,10.8,0.2,0.6
PIT,2009.0,62.0,17.0,1.4,4.0,-1.7,15.6,1.5,1.4,1.1,1.9,3.0,1.9,4.0,1.2,7.1,0.0,-0.4
SDP,2009.0,75.0,17.7,2.3,-0.2,2.8,15.4,0.9,6.8,0.5,1.4,0.1,1.4,4.2,-0.6,5.0,0.0,0.7
SFG,2009.0,88.0,34.3,25.9,19.1,7.1,8.4,-0.5,0.3,-0.4,4.3,-0.4,1.8,1.7,1.1,4.6,0.0,0.5
STL,2009.0,91.0,41.1,17.1,13.4,3.4,24.0,3.1,9.6,2.0,0.1,3.3,2.2,1.7,1.1,5.0,0.1,0.8
WSN,2009.0,59.0,14.9,2.2,4.1,-2.1,12.7,-0.6,1.2,0.3,7.2,1.2,1.3,1.5,0.1,2.9,0.1,0.4
ARI,2010.0,65.0,17.5,1.3,6.7,-6.4,16.2,1.1,1.0,3.7,-0.2,3.5,0.2,5.4,1.5,7.1,0.1,-0.1
ATL,2010.0,91.0,41.3,17.0,10.3,6.6,24.3,4.4,1.3,4.7,4.4,3.2,0.6,-1.8,6.3,5.1,0.1,1.1
CHC,2010.0,75.0,23.1,12.7,13.4,0.0,10.4,2.9,-0.1,0.3,-0.3,1.7,0.7,3.6,1.2,5.5,0.1,0.3
CIN,2010.0,91.0,41.2,10.6,6.4,3.3,30.6,3.2,7.0,4.0,4.4,1.5,0.4,3.2,4.7,8.3,0.0,2.2
COL,2010.0,83.0,36.5,16.6,12.4,5.2,19.9,2.1,0.0,1.1,2.0,7.1,2.5,3.6,1.1,7.2,0.0,0.4
FLA,2010.0,80.0,29.7,14.6,12.3,3.6,15.1,0.8,-0.1,4.4,-1.4,3.2,2.2,2.5,3.5,8.2,-0.1,0.1
HOU,2010.0,76.0,16.7,13.3,10.7,2.2,3.4,-0.4,1.0,-0.1,-1.0,-2.0,-1.8,5.3,3.0,6.5,-0.1,-0.5
LAD,2010.0,80.0,27.7,16.8,14.7,3.2,10.9,2.7,0.4,1.6,2.5,4.9,-1.3,-1.3,1.4,-1.2,0.1,-0.1
MIL,2010.0,77.0,26.4,1.9,0.9,-1.1,24.5,1.8,1.6,3.7,1.7,0.9,5.7,3.2,4.3,13.2,0.1,1.5
NYM,2010.0,79.0,30.7,14.9,10.9,2.9,15.8,0.4,3.2,-0.2,2.8,2.2,2.1,3.4,1.8,7.3,0.0,0.1
